Feature,Importance
Sleep Duration,0.20422301457901548
Heart Rate,0.153559697259014
Stress Level,0.14381993648196262
Age,0.10875206332865484
Daily Steps,0.08146833468862459
Physical Activity Level,0.06923424277663145
Systolic Blood Pressure,0.045832463681309644
Diastolic Blood Pressure,0.03404625405090588
Occupation_Doctor,0.03402406987313071
BMI Category_Obese,0.028826156832557376
BMI Category_Overweight,0.02031453987857868
BMI Category_Normal,0.019512048780552408
Occupation_Scientist,0.010479424499461642
Occupation_Teacher,0.008319075517375514
Occupation_Engineer,0.00801631090633067
Gender_Female,0.005716753447420141
Occupation_Software Engineer,0.005497959515790829
Occupation_Nurse,0.0041100008679353876
Occupation_Lawyer,0.0034280606982696003
Gender_Male,0.0029999312330679976
Occupation_Sales Representative,0.0028304680765849593
BMI Category_Normal Weight,0.002369511369554274
Occupation_Accountant,0.001685544939136474
Occupation_Salesperson,0.0009341367181347364
Occupation_Manager,0.0
